assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,1998-12-17,6,271,True,True,100,100,6,0.42,184029,3,,0,0,-3,3,497.7,30,24,1,,0,3,4.5,4.0,6,3.33,0.23,6.45,0.45,3.12,10.59,0.74,0.22,Martin,4.0,68,29,11,0.77,2,False,105.6,64,41,13,False,278.6,171,70,1281,0,0,0,0,0,0,0,,2024-09-10T00:30:06.311550Z,82,11,8,p184029,0,0,2,0,,184029.jpg,3.8,72,34,0,161,False,0,0.0,Ødegaard,4.9,71,20,False,None,15,1.05,a,1,3,2021-08-20,277.0,71,46,60,888681,26051,1974819,7958,0.5,7.3,Ødegaard,2
0,1995-09-15,8,339,True,True,100,75,8,0.33,154561,None,,0,0,0,0,0.0,762,80,None,,2,1,4.3,2.8,3,0.01,0.0,0.01,0.0,0.00,21.20,0.88,0.0,David,3.8,83,5,22,0.92,0,False,50.3,207,12,15,False,502.6,43,12,2160,0,0,0,0,0,0,0,,2025-01-30T11:00:08.979724Z,55,108,2,p154561,0,0,None,0,,154561.jpg,3.9,60,7,0,200,False,59,2.46,Raya Martin,25.8,10,1,False,None,24,1.0,a,1,3,2024-07-04,0.0,760,80,93,2625140,31627,2721680,42411,0.7,16.9,Raya,2
5,1999-01-14,8,389,True,True,100,100,6,0.31,204480,2,,0,0,-3,3,620.2,14,12,2,,0,3,4.7,4.2,10,4.03,0.21,5.50,0.29,1.47,16.13,0.83,0.08,Declan,4.2,55,21,20,1.04,1,False,123.2,45,30,16,False,418.6,81,25,1739,0,0,0,0,0,0,0,,2024-12-14T22:30:07.561621Z,62,59,34,p204480,0,0,None,0,,204480.jpg,3.1,122,55,1,241,False,0,0.0,Rice,2.6,118,35,False,None,20,1.04,a,1,3,2023-07-15,198.0,112,74,69,255089,13063,649945,3843,0.7,11.1,Rice,3
11,2001-09-05,16,435,True,True,0,0,6,0.43,223340,1,,0,0,2,-2,630.0,12,11,None,,4,3,0.0,0.0,0,5.60,0.4,9.77,0.7,4.17,10.52,0.75,0.3,Bukayo,0.0,771,335,13,0.92,5,False,174.9,10,7,17,False,516.2,37,12,1268,0,0,0,0,0,0,0,Hamstring injury - Expected back 08 Mar,2024-12-21T21:30:07.668871Z,102,4,3,p223340,0,0,1,0,,223340.jpg,6.7,5,4,0,241,False,0,0.0,Saka,8.9,37,9,False,None,16,1.14,i,1,3,2018-11-28,604.0,19,10,107,5222113,484,7643303,17203,0.0,10.5,Saka,3
0,2001-03-24,9,363,True,True,100,100,8,0.38,462424,None,,0,0,2,-2,79.8,262,73,None,,3,2,3.7,3.2,2,0.80,0.04,2.68,0.13,1.88,17.52,0.82,0.09,William,3.2,105,24,18,0.84,2,False,59.7,169,50,18,False,425.4,76,29,1919,0,0,0,0,0,0,0,,2025-01-18T23:00:07.959087Z,62,68,4,p462424,0,0,None,0,,462424.jpg,4.0,54,6,1,73,False,0,0.0,Saliba,21.7,17,7,False,None,22,1.03,a,1,3,2019-07-25,89.0,218,56,87,2203124,31990,4134455,19565,0.5,14.0,Saliba,2
3,1993-06-13,6,403,True,True,100,100,5,0.24,167199,None,,0,0,-1,1,255.9,102,73,None,,0,3,4.3,3.8,8,1.59,0.08,3.12,0.15,1.53,19.34,0.94,0.07,Thomas,3.8,74,32,20,0.97,3,False,83.1,104,62,20,False,436.6,68,19,1851,0,0,0,0,0,0,0,,2024-11-30T22:00:07.258906Z,49,253,161,p167199,0,0,None,0,,167199.jpg,3.3,105,46,0,81,False,0,0.0,Partey,0.8,233,71,False,None,20,0.97,a,1,3,2020-10-05,136.0,171,105,76,277281,4001,254253,1376,0.8,15.5,Thomas,2
0,1997-06-05,0,10,True,True,100,100,0,0.0,192895,None,,0,0,-2,2,11.0,404,138,None,,0,2,1.0,0.5,0,0.23,1.29,0.23,1.29,0.00,0.21,1.18,0.0,Kieran,0.5,330,95,0,0.0,0,False,1.6,480,167,21,False,2.2,497,175,16,0,0,0,0,0,0,0,,2024-08-12T14:30:04.394338Z,43,569,124,p192895,0,0,None,0,,192895.jpg,1.0,433,155,0,243,False,0,0.0,Tierney,0.0,558,192,False,None,0,0.0,a,1,3,2019-08-08,2.0,431,156,2,4104,255,6643,181,0.1,0.5,Tierney,0
0,1998-11-05,0,2,True,True,0,0,0,0.0,223723,None,,0,0,-2,2,0.3,477,174,None,,0,2,0.0,0.0,0,0.00,0.0,0.18,2.7,0.18,0.04,0.6,2.7,Tomiyasu,0.0,683,247,0,0.0,0,False,1.0,487,169,22,False,0.4,508,180,6,0,0,0,0,0,0,0,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,48,306,35,p223723,0,0,None,0,,223723.jpg,1.0,468,164,0,108,False,0,0.0,Takehiro,0.0,587,202,False,None,0,0.0,i,1,3,2021-08-31,9.0,386,132,1,1660,25,7751,37,0.0,0.2,Tomiyasu,0
5,1994-12-04,10,322,True,True,100,100,6,0.37,116216,4,,0,0,-2,2,363.9,61,47,None,,1,3,6.5,6.0,2,2.46,0.15,5.69,0.35,3.23,12.48,0.77,0.2,Leandro,6.0,23,9,16,0.99,4,False,112.6,54,35,23,False,361.6,115,43,1451,0,0,0,0,0,0,0,,2024-11-21T08:30:08.540890Z,68,31,15,p116216,0,0,4,0,,116216.jpg,3.5,96,43,1,21,False,0,0.0,Trossard,2.5,123,39,False,None,16,0.99,a,1,3,2023-01-20,402.0,49,30,85,596752,27228,588707,12196,0.9,12.5,Trossard,1
1,1997-10-08,0,112,True,True,0,0,3,0.39,198869,None,,0,0,-4,4,55.3,305,91,None,,0,2,0.0,0.0,0,0.32,0.04,0.45,0.06,0.13,9.87,1.28,0.02,Benjamin,0.0,755,255,7,0.91,0,False,21.3,336,112,24,False,128.4,302,110,694,0,0,0,0,0,0,0,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,61,71,5,p198869,0,0,None,0,,198869.jpg,3.0,132,35,0,241,False,0,0.0,White,2.1,137,53,False,None,7,0.91,i,1,3,2021-07-30,29.0,322,105,27,146097,88,984021,2050,0.0,4.4,White,2
0,1996-12-15,0,66,True,True,100,100,2,0.76,206325,None,,0,0,-2,2,26.5,359,118,None,,0,2,0.7,0.2,0,0.08,0.03,0.14,0.05,0.06,1.82,0.69,0.02,Oleksandr,0.2,396,125,0,0.0,0,False,7.2,410,135,25,False,22.2,428,152,238,0,0,0,0,0,0,0,,2024-12-09T09:30:06.099861Z,48,303,34,p206325,0,0,None,0,,206325.jpg,2.1,263,84,0,225,False,0,0.0,Zinchenko,0.9,216,82,False,None,2,0.76,a,1,3,2022-07-22,23.0,341,112,17,92103,533,311196,889,0.0,3.5,Zinchenko,1
0,1989-07-19,0,30,True,True,100,100,0,0.0,69752,None,,0,0,-4,4,0.0,601,56,None,,0,1,0.5,0.0,0,0.00,0.0,0.00,0.0,0.00,2.91,1.46,0.0,Norberto,0.0,516,67,2,1.0,0,False,7.8,408,34,73,False,77.8,361,34,180,0,0,0,0,0,0,0,,2024-10-05T17:30:06.760449Z,41,613,40,p69752,0,0,None,0,,69752.jpg,3.5,87,11,0,30,False,11,5.5,Murara Neto,0.8,232,32,False,None,2,1.0,a,1,3,2024-08-30,0.0,568,43,7,88491,453,248544,865,0.0,1.7,Neto,0
1,1994-12-08,0,32,True,True,100,100,0,0.0,103955,None,,0,0,-3,3,47.4,314,182,3,,0,3,1.3,0.8,1,0.15,0.06,1.03,0.43,0.88,1.90,0.8,0.37,Raheem,0.8,319,156,2,0.85,0,False,16.0,358,175,186,False,35.8,402,182,213,0,0,0,0,0,0,0,,2024-12-21T21:30:08.006504Z,67,36,17,p103955,0,0,None,0,,103955.jpg,1.3,388,186,0,241,False,0,0.0,Sterling,0.8,224,67,False,None,3,1.27,a,1,3,2024-08-30,79.0,235,132,12,49413,486,157082,634,0.1,1.8,Sterling,1
1,2002-05-19,1,126,True,True,100,100,1,0.12,466075,None,,0,0,-2,2,85.2,252,69,None,,1,2,2.5,2.0,1,0.56,0.07,1.23,0.15,0.67,8.09,0.97,0.08,Riccardo,2.0,195,60,10,1.2,2,False,46.0,225,69,578,False,233.0,204,78,750,0,0,0,0,0,0,0,,2025-01-12T22:00:08.460074Z,58,91,8,p466075,0,0,None,0,,466075.jpg,2.6,178,54,0,106,False,0,0.0,Calafiori,1.3,183,73,False,None,8,0.96,a,1,3,2024-07-29,142.0,163,28,34,226875,4128,391750,2518,0.3,5.9,Calafiori,3
0,2006-09-26,0,117,True,True,100,100,2,0.33,499169,None,,0,0,0,0,67.1,281,170,None,,0,3,2.5,2.0,7,0.21,0.03,0.25,0.04,0.04,5.55,0.91,0.01,Myles,2.0,184,73,7,1.15,1,False,19.9,340,168,597,False,103.6,329,151,549,0,0,0,0,0,0,0,,2025-01-23T00:00:08.472734Z,45,426,265,p499169,0,0,None,0,,499169.jpg,1.7,319,145,1,241,False,0,0.0,Lewis-Skelly,0.3,317,100,False,None,7,1.15,a,1,3,2022-12-04,29.0,318,173,17,48532,12850,23100,1264,0.4,3.8,Lewis-Skelly,2
1,1996-06-22,2,165,True,True,100,100,2,0.24,195384,None,,0,0,0,0,133.3,195,124,None,,0,3,1.5,1.0,1,0.70,0.08,2.94,0.35,2.24,7.12,0.84,0.27,Mikel,1.0,290,141,9,1.07,2,False,56.1,184,100,633,False,203.6,234,102,759,0,0,0,0,0,0,0,,2025-01-27T01:00:09.275216Z,60,77,50,p195384,0,0,None,0,,195384.jpg,2.4,216,95,0,200,False,0,0.0,Merino,0.1,498,181,False,None,8,0.95,a,1,3,2024-08-27,225.0,98,64,39,25190,330,22889,414,0.2,6.5,Merino,2
0,2003-08-20,0,0,True,True,None,None,0,0,498046,None,,0,0,0,0,0.0,678,277,None,,0,3,0.5,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Salah-Eddine,0.0,619,234,0,0,0,False,0.0,683,276,638,False,0.0,683,276,0,0,0,0,0,0,0,0,,None,45,425,264,p498046,0,0,None,0,,498046.jpg,0.0,687,277,0,152,False,0,0,Oulad M'hand,0.0,671,275,False,None,0,0,a,1,3,2021-10-25,0.0,661,269,0,2313,40,1913,42,0.0,0.0,Oulad M'hand,0
0,2006-03-13,0,0,True,True,None,None,0,0,551221,None,,0,0,0,0,0.0,700,74,None,,0,1,0.5,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Tommy,0.0,644,78,0,0,0,False,0.0,706,80,639,False,0.0,707,80,0,0,0,0,0,0,0,0,,None,45,458,19,p551221,0,0,None,0,,551221.jpg,0.0,710,80,0,241,False,0,0,Setford,0.1,538,67,False,None,0,0,a,1,3,2024-07-24,0.0,686,68,0,3830,116,4018,122,0.0,0.0,Setford,0
0,None,0,0,False,True,0,None,0,0,588793,None,,0,0,0,0,0.0,586,220,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Maldini,0.0,500,186,0,0,0,False,0.0,604,222,657,False,0.0,603,222,0,0,0,0,0,0,0,0,Loaned to Bromley,2025-02-04T10:52:26.271821Z,40,697,220,p588793,0,0,None,0,,588793.jpg,0.0,609,221,0,2,False,0,0,Kacurri,0.1,507,177,False,None,0,0,u,1,3,2024-09-14,0.0,551,211,0,11257,125,8699,401,0.0,0.0,Kacurri,0
0,2005-12-10,0,0,True,True,None,None,0,0,588796,None,,0,0,0,0,0.0,710,301,None,,0,3,0.5,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ismeal,0.0,654,262,0,0,0,False,0.0,716,300,659,False,0.0,717,301,0,0,0,0,0,0,0,0,,None,45,470,298,p588796,0,0,None,0,,588796.jpg,0.0,719,302,0,152,False,0,0,Kabia,0.0,665,271,False,None,0,0,a,1,3,2024-09-14,0.0,696,295,0,2649,46,2081,52,0.0,0.0,Kabia,0
0,2006-07-26,0,0,True,True,None,None,0,0,499167,None,,0,0,0,0,0.0,563,201,None,,0,2,0.5,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Josh,0.0,474,164,0,0,0,False,0.0,582,204,662,False,0.0,581,204,0,0,0,0,0,0,0,0,,None,40,666,193,p499167,0,0,None,0,,499167.jpg,0.0,587,203,0,241,False,0,0,Nichols,0.0,555,191,False,None,0,0,a,1,3,2024-07-24,0.0,526,190,0,4476,220,3411,121,0.0,0.0,Nichols,0
0,2003-01-04,0,0,True,True,None,None,0,0,461025,None,,0,0,0,0,0.0,660,56,None,,0,4,0.5,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Nathan,0.0,601,47,0,0,0,False,0.0,666,56,665,False,0.0,666,56,0,0,0,0,0,0,0,0,,None,45,398,66,p461025,0,0,None,0,,461025.jpg,0.0,670,60,0,241,False,0,0,Butler-Oyedeji,0.2,368,59,False,None,0,0,a,1,3,2024-09-18,0.0,642,56,0,52861,747,38987,875,0.0,0.0,Butler-Oyedeji,0
0,1982-03-26,0,0,True,True,None,None,0,0,100051017,None,,0,0,0,0,0.0,507,19,None,,0,5,10.5,10.0,11,0.00,0,0.00,0,0.00,0.00,0,0,Mikel,10.0,5,3,0,0,0,False,0.0,532,19,735,False,0.0,531,19,0,1,0,6,0,0,0,2,,None,15,756,4,man51018,0,0,None,0,,100051017.jpg,0.0,537,19,0,200,False,0,0,Arteta,3.7,262,5,False,None,0,0,a,1,3,2019-12-22,0.0,463,19,20,6524,6034,3769,2670,6.7,13.3,Arteta,0
0,2008-07-15,0,0,True,True,None,None,0,0,616059,None,,0,0,0,0,0.0,596,54,None,,0,1,0.5,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Jack,0.0,511,65,0,0,0,False,0.0,614,72,756,False,0.0,613,72,0,0,0,0,0,0,0,0,,None,40,708,63,p616059,0,0,None,0,,616059.jpg,0.0,619,72,0,241,False,0,0,Porter,0.0,726,74,False,None,0,0,a,1,3,2024-09-18,0.0,562,40,0,404,168,69,53,0.0,0.0,Porter,0
2,1997-08-09,2,160,True,True,100,100,2,0.18,215711,3,,0,0,-3,3,231.6,122,86,4,,0,3,1.4,1.2,1,2.87,0.25,4.32,0.38,1.45,11.64,1.02,0.13,Leon,1.2,263,127,16,1.4,1,False,63.4,154,89,28,False,136.6,294,131,1028,0,0,0,0,0,0,0,,2024-12-09T09:30:06.119495Z,62,61,36,p215711,0,0,None,0,,215711.jpg,2.2,254,113,0,107,False,0,0.0,Bailey,0.8,225,68,False,None,13,1.14,a,2,7,2021-08-04,268.0,76,49,44,166650,3117,445781,2063,0.2,7.1,Bailey,2
1,1993-12-05,5,150,True,True,50,0,1,0.17,88894,None,,0,0,-3,3,115.5,217,136,None,,1,3,-0.5,0.0,0,0.41,0.07,2.09,0.35,1.68,5.36,0.89,0.28,Ross,0.0,732,312,9,1.49,3,False,50.3,206,107,29,False,203.4,236,104,544,0,0,0,0,0,0,0,Calf injury - 50% chance of playing,2025-01-11T01:30:08.379812Z,52,160,96,p88894,0,0,None,0,,88894.jpg,2.5,197,85,0,241,False,0,0.0,Barkley,0.2,338,106,False,None,3,0.5,d,2,7,2024-07-01,185.0,127,84,40,25970,17,89450,591,0.0,7.7,Barkley,3
0,None,0,0,False,True,0,0,0,0,491287,None,,0,0,-1,1,0.0,737,315,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Enzo,0.0,704,293,0,0,0,False,0.0,741,315,30,False,0.0,741,315,0,0,0,0,0,0,0,0,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,49,283,184,p491287,0,0,None,0,,491287.jpg,0.0,741,315,0,None,False,0,0,Barrenechea,0.0,651,267,False,None,0,0,u,2,7,None,0.0,729,312,0,872,0,5297,11,0.0,0.0,Barrenechea,0
0,None,0,37,False,True,0,None,0,0.0,195546,None,,0,0,-4,4,23.2,372,203,3,,0,3,0.0,0.5,0,0.03,0.03,0.68,0.69,0.65,2.27,2.3,0.66,Emiliano,0.5,342,163,2,2.02,0,False,5.2,435,207,31,False,16.4,442,204,89,0,0,0,0,0,0,0,Loaned to Bayer Leverkusen,2025-02-03T10:22:17.157838Z,51,180,109,p195546,0,0,None,0,,195546.jpg,0.9,494,233,0,10,False,0,0.0,Buendía Stati,0.1,494,179,False,None,0,0.0,u,2,7,2021-06-10,16.0,365,197,11,6966,28,16030,407,0.1,2.2,Buendia,1
1,1997-08-07,1,133,True,True,0,0,2,0.14,199796,None,,0,0,-1,1,120.0,208,54,None,,0,2,0.0,0.0,0,0.96,0.07,1.18,0.09,0.22,17.63,1.26,0.02,Matty,3.0,109,25,17,1.22,1,False,45.2,226,70,32,False,233.4,202,77,1258,0,0,0,0,0,0,0,Muscle injury - Expected back 25 Feb,2025-01-31T15:00:08.473024Z,44,500,92,p199796,0,0,None,0,,199796.jpg,2.4,203,63,0,172,False,0,0.0,Cash,1.1,196,78,False,None,15,1.07,i,2,7,2020-09-03,98.0,207,50,38,196178,62,394981,13020,0.7,8.6,Cash,5
0,None,0,0,False,True,0,0,0,0,151589,None,,0,0,0,0,0.0,644,254,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Leander,0.0,583,210,0,0,0,False,0.0,650,253,33,False,0.0,650,253,0,0,0,0,0,0,0,0,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,45,370,235,p151589,0,0,None,0,,151589.jpg,0.0,654,254,0,None,False,0,0,Dendoncker,0.2,370,119,False,None,0,0,u,2,7,None,0.0,626,246,0,18187,0,92698,158,0.0,0.0,Dendoncker,0
0,None,0,0,False,True,0,0,0,0,243557,None,,0,0,0,0,0.0,770,335,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Moussa,0.0,763,333,0,0,0,False,0.0,770,335,34,False,0.0,770,335,0,0,0,0,0,0,0,0,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,43,23,p243557,0,0,None,0,,243557.jpg,0.0,770,335,0,None,False,0,0,Diaby,0.0,667,273,False,None,0,0,u,2,7,None,0.0,770,335,0,0,0,3393,5,0.0,0.0,Diaby,0
0,None,1,69,False,True,0,0,2,0.22,165659,None,,0,0,0,0,9.2,421,144,None,,0,2,0.0,0.0,0,0.08,0.01,0.72,0.08,0.64,11.88,1.29,0.07,Diego Carlos,0.0,584,232,15,1.63,0,False,21.5,334,110,35,False,150.6,276,102,828,0,0,0,0,0,0,0,loaned to Fenerbahçe,2025-01-03T19:30:08.711012Z,45,371,57,p165659,0,0,None,0,,165659.jpg,2.1,261,83,0,30,False,0,0.0,Santos Silva,0.3,305,110,False,None,8,0.87,u,2,7,2022-06-10,54.0,273,85,21,50956,0,91917,1033,0.0,4.7,Diego Carlos,1
4,1993-07-20,6,278,True,True,None,None,3,0.15,101188,2,,0,0,1,-1,467.3,39,7,2,,2,2,5.4,3.2,1,2.97,0.15,3.74,0.19,0.77,24.93,1.27,0.04,Lucas,3.2,97,20,29,1.47,0,False,96.8,80,10,36,False,396.2,96,36,1770,0,0,0,0,0,0,0,,None,46,352,48,p101188,0,0,None,0,,101188.jpg,2.6,168,53,0,73,False,0,0.0,Digne,7.1,52,17,False,None,21,1.07,a,2,7,2022-01-13,103.0,203,47,63,1721332,41089,1249150,13571,0.7,13.7,Digne,3
